n,q,alpha_ratio,seed,S,S_bal,rounds,reason
10,0.0,0.6,0,0.6,0.0,3,no_new_failures
10,0.0,0.6,1,0.4,0.0,3,no_new_failures
10,0.0,0.6,2,0.5,0.0,5,no_new_failures
10,0.0,0.6,3,0.6,0.0,3,no_new_failures
10,0.0,0.6,4,0.6,0.0,3,no_new_failures
10,0.0,0.6,5,0.4,0.0,3,no_new_failures
10,0.0,0.6,6,0.4,0.0,3,no_new_failures
10,0.0,0.6,7,0.5,0.0,5,no_new_failures
10,0.0,0.6,8,0.4,0.0,6,no_new_failures
10,0.0,0.6,9,0.4,0.0,3,no_new_failures
10,0.0,0.6,10,0.4,0.0,3,no_new_failures
10,0.0,0.6,11,0.5,0.0,5,no_new_failures
10,0.0,0.6,12,0.4,0.0,6,no_new_failures
10,0.0,0.6,13,0.6,0.0,3,no_new_failures
10,0.0,0.6,14,0.4,0.0,3,no_new_failures
10,0.0,0.6,15,0.4,0.0,6,no_new_failures
10,0.0,0.6,16,0.5,0.0,5,no_new_failures
10,0.0,0.6,17,0.4,0.0,3,no_new_failures
10,0.0,0.6,18,0.3,0.0,2,no_new_failures
10,0.0,0.6,19,0.4,0.0,3,no_new_failures
10,0.0,0.6,20,0.3,0.0,4,no_new_failures
10,0.0,0.6,21,0.4,0.0,6,no_new_failures
10,0.0,0.6,22,0.4,0.0,6,no_new_failures
10,0.0,0.6,23,0.6,0.0,3,no_new_failures
10,0.0,0.6,24,0.3,0.0,2,no_new_failures
10,0.0,0.8,0,0.6,0.0,6,no_new_failures
10,0.0,0.8,1,0.4,0.0,5,no_new_failures
10,0.0,0.8,2,0.7,0.0,4,no_new_failures
10,0.0,0.8,3,0.6,0.0,6,no_new_failures
10,0.0,0.8,4,0.6,0.0,6,no_new_failures
10,0.0,0.8,5,0.4,0.0,6,no_new_failures
10,0.0,0.8,6,0.4,0.0,6,no_new_failures
10,0.0,0.8,7,0.7,0.0,4,no_new_failures
10,0.0,0.8,8,0.4,0.0,7,no_new_failures
10,0.0,0.8,9,0.4,0.0,6,no_new_failures
10,0.0,0.8,10,0.4,0.0,6,no_new_failures
10,0.0,0.8,11,0.7,0.0,4,no_new_failures
10,0.0,0.8,12,0.4,0.0,7,no_new_failures
